flag,gemini-3-pro-preview-maxthinking-gcli.csv,glm-4.6.csv,gemini-2.5-pro-maxthinking-gcli.csv,kimi-k2-thinking.csv,doubao.csv,qwen3-max.csv,deepseek-reasoner.csv,voted_category,confidence
max-wasm-functions,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,1.00
mcpu,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
mega-dom-ic,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
memory-balancer,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
memory-balancer-c-value,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
memory-pool,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
memory-pool-release-before-memory-pressure-gcs,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
memory-pool-release-on-malloc-failures,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
memory-pool-share-memory-on-teardown,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
memory-protection-keys,GC/Memory,Compiler/Tier Manager,GC/Memory,GC/Memory,Data,GC/Memory,GC/Memory,GC/Memory,0.57
memory-reducer,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
memory-reducer-favors-memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
memory-reducer-for-small-heaps,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
memory-reducer-gc-count,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
memory-reducer-respects-frozen-state,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
memory-saver-mode,Generic,Generic,GC/Memory,Generic,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Generic,0.00
merge-background-deserialized-script-with-compilation-cache,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Ignition,Compiler/Tier Manager,0.71
min-inlining-frequency,Optimization,Turbofan,Turbofan,Optimization,Optimization,Turbofan,Turbofan,Turbofan,0.14
min-maglev-inlining-frequency,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
min-semi-space-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
minimum-invocations-after-ic-update,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
minimum-invocations-before-optimization,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
minor-gc-task,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
minor-gc-task-trigger,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
minor-gc-task-with-lower-priority,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
minor-ms,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
minor-ms-concurrent-marking-trigger,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
minor-ms-max-page-age,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
minor-ms-min-lab-size-kb,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
minor-ms-min-new-space-capacity-for-concurrent-marking-mb,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
minor-ms-page-promotion-max-lab-threshold,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
minor-ms-page-promotion-threshold,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
minor-ms-shortcut-strings,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
minor-ms-trace-fragmentation,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,0.14
mock-arraybuffer-allocator,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
mock-arraybuffer-allocator-limit,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
move-object-start,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
move-prototype-transitions-first,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
multi-mapped-mock-allocator,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
native-code-counters,Trace/Debug,Print,Generic,Trace/Debug,Optimization,Trace/Debug,Optimization,Trace/Debug,0.14
omit-default-ctors,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,1.00
opt,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,1.00
optimize-for-size,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
optimize-gc-for-battery,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
optimize-maglev-optimizes-to-turbofan,Maglev,Turbofan,Compiler/Tier Manager,Maglev,Compiler/Tier Manager,Turbofan,Turbofan,Turbofan,0.14
optimize-on-next-call-optimizes-to-maglev,Maglev,Maglev,Maglev,Maglev,Compiler/Tier Manager,Maglev,Maglev,Maglev,0.71
osr-from-maglev,Maglev,Compiler/Tier Manager,Compiler/Tier Manager,Maglev,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,0.43
osr-from-maglev-interrupt-scale-factor,Maglev,Compiler/Tier Manager,Compiler/Tier Manager,Maglev,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,0.43
osr-to-tierup,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
page-pool-timeout,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
page-promotion,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
page-promotion-threshold,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
parallel-compaction,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
parallel-compile-tasks-for-eager-toplevel,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
parallel-compile-tasks-for-lazy,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,1.00
parallel-marking,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
parallel-pause-for-gc-in-background,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
parallel-pointer-update,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
parallel-reclaim-unmodified-wrappers,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
parallel-scavenge,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
parallel-weak-ref-clearing,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
parse-only,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Language mode/features,Compiler/Tier Manager,0.71
parser-ablation-amount,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
partial-constant-pool,Generic,Generic,,Generic,Data,Generic,Data,Generic,0.33
perf-basic-prof,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
perf-basic-prof-only-functions,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
perf-basic-prof-path,Trace/Debug,Print,Trace/Debug,Trace/Debug,Data,Print,Generic,Trace/Debug,0.14
perf-prof,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
perf-prof-annotate-wasm,Trace/Debug,Print,Wasm,Trace/Debug,Debug,Wasm,Generic,Trace/Debug,0.00
perf-prof-delete-file,Trace/Debug,Testing/Fuzzing,Trace/Debug,Trace/Debug,Testing/Fuzzing,Trace/Debug,Generic,Trace/Debug,0.29
perf-prof-path,Trace/Debug,Print,Trace/Debug,Trace/Debug,Data,Print,Generic,Trace/Debug,0.14
perf-prof-unwinding-info,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
perfetto-code-logger,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
precise-object-pinning,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
preconfigured-old-space-size,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
predictable,Testing/Fuzzing,Generic,Generic,Testing/Fuzzing,Testing/Fuzzing,Generic,Generic,Generic,0.14
predictable-gc-schedule,Testing/Fuzzing,Generic,GC/Memory,Testing/Fuzzing,Testing/Fuzzing,GC/Memory,GC/Memory,Testing/Fuzzing,0.00
preparser-ablation-amount,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
print-all-code,Print,Print,Print,Print,Print,Print,Print,Print,1.00
print-all-exceptions,Trace/Debug,Print,Print,Trace/Debug,Print,Trace/Debug,Print,Print,0.14
print-ast,Print,Print,Print,Print,Print,Print,Print,Print,1.00
print-break-location,Trace/Debug,Print,Trace/Debug,Trace/Debug,Print,Print,Print,Print,0.14
print-builtin-code,Print,Print,Print,Print,Print,Print,Print,Print,1.00
print-builtin-code-filter,Print,Print,Print,Print,Print,Print,Print,Print,1.00
print-builtin-size,Print,Print,Print,Print,Print,Print,Print,Print,1.00
print-bytecode,Ignition,Ignition,Print,Ignition,Print,Print,Print,Print,0.14
print-bytecode-filter,Ignition,Ignition,Print,Ignition,Print,Print,Print,Print,0.14
print-code,Print,Print,Print,Print,Print,Print,Print,Print,1.00
print-code-verbose,Print,Print,Print,Print,Print,Print,Print,Print,1.00
print-deopt-stress,Testing/Fuzzing,Testing/Fuzzing,Print,Testing/Fuzzing,Print,Print,Print,Print,0.14
print-feature-flags-json,Generic,Print,Print,Generic,Print,Print,Print,Print,0.43
print-flag-values,Generic,Print,Print,Generic,Print,Print,Print,Print,0.43
print-global-handles,GC/Memory,Print,Print,GC/Memory,Print,Print,Trace/Debug,Print,0.29
print-handles,GC/Memory,Print,Print,GC/Memory,Print,Print,Trace/Debug,Print,0.29
print-maglev-code,Maglev,Maglev,Print,Maglev,Print,Print,Print,Print,0.14
print-maglev-deopt-verbose,Maglev,Maglev,Print,Maglev,Print,Print,Print,Print,0.14
print-maglev-graph,Maglev,Maglev,Print,Maglev,Print,Print,Print,Print,0.14
print-maglev-graphs,Maglev,Maglev,Print,Maglev,Print,Print,Print,Print,0.14
print-opt-code,Print,Print,Print,Print,Print,Print,Print,Print,1.00
print-opt-code-filter,Print,Print,Print,Print,Print,Print,Print,Print,1.00
print-opt-source,Print,Print,Print,Print,Print,Print,Print,Print,1.00
print-regexp-bytecode,Print,Print,Print,Print,Print,Print,Print,Print,1.00
print-regexp-code,Print,Print,Print,Print,Print,Print,Print,Print,1.00
print-scopes,Print,Print,Print,Print,Print,Print,Print,Print,1.00
print-turbolev-frontend,Turbolev,Turbolev,Print,Turbolev,Print,Print,Print,Print,0.14
print-wasm-code,Wasm,Wasm,Wasm,Wasm,Print,Print,Print,Wasm,0.14
print-wasm-code-function-index,Wasm,Wasm,Wasm,Wasm,Print,Print,Print,Wasm,0.14
print-wasm-offheap-memory-size,Wasm,Wasm,Wasm,Wasm,Print,Print,Print,Wasm,0.14
print-wasm-stub-code,Wasm,Wasm,Wasm,Wasm,Print,Print,Print,Wasm,0.14
prof,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
prof-browser-mode,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
prof-cpp,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
prof-include-idle,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
prof-sampling-interval,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.43
profile-deserialization,Trace/Debug,Print,Trace/Debug,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,0.43
profile-guided-optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Compiler/Tier Manager,Optimization,0.71
profile-guided-optimization-for-empty-feedback-vector,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Compiler/Tier Manager,Optimization,0.71
profile-heap-snapshot,GC/Memory,Print,Trace/Debug,GC/Memory,Print,Trace/Debug,Trace/Debug,Trace/Debug,0.14
proto-assign-seq-opt,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
random-gc-interval,GC/Memory,Testing/Fuzzing,GC/Memory,GC/Memory,Testing/Fuzzing,GC/Memory,GC/Memory,GC/Memory,0.43
random-seed,Testing/Fuzzing,Generic,Generic,Testing/Fuzzing,Data,Data,Data,Data,0.14
randomize-all-allocations,GC/Memory,Testing/Fuzzing,GC/Memory,GC/Memory,Testing/Fuzzing,GC/Memory,GC/Memory,GC/Memory,0.43
rcs,Trace/Debug,Print,Print,Trace/Debug,Print,Trace/Debug,Generic,Trace/Debug,0.00
rcs-cpu-time,Trace/Debug,Print,Print,Trace/Debug,Print,Trace/Debug,Generic,Trace/Debug,0.00
reclaim-unmodified-wrappers,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
redirect-code-traces,Trace/Debug,Print,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Generic,Trace/Debug,0.57
redirect-code-traces-to,Trace/Debug,Print,Trace/Debug,Trace/Debug,Data,Print,Generic,Trace/Debug,0.14
regexp-assemble-from-bytecode,Compiler/Tier Manager,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,0.14
regexp-backtracks-before-fallback,Compiler/Tier Manager,Language mode/features,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,0.00
regexp-interpret-all,Compiler/Tier Manager,Optimization,Optimization,Compiler/Tier Manager,Testing/Fuzzing,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,0.00
regexp-optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
regexp-peephole-optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
regexp-possessive-quantifier,Testing/Fuzzing,Testing/Fuzzing,Language mode/features,Testing/Fuzzing,Testing/Fuzzing,Language mode/features,Optimization,Testing/Fuzzing,0.29
regexp-results-cache,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
regexp-simd,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,1.00
regexp-tier-up,Compiler/Tier Manager,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,0.14
regexp-tier-up-ticks,Compiler/Tier Manager,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,0.14
rehash-snapshot,Data,Compiler/Tier Manager,Generic,Data,Testing/Fuzzing,GC/Memory,Data,Data,0.29
reopt-after-lazy-deopts,Optimization,Compiler/Tier Manager,Optimization,Optimization,Compiler/Tier Manager,Compiler/Tier Manager,Optimization,Optimization,0.14
reorder-builtins,Compiler/Tier Manager,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Testing/Fuzzing,Turbofan,Compiler/Tier Manager,0.14
reserve-contiguous-compressed-read-only-space,GC/Memory,GC/Memory,GC/Memory,GC/Memory,Data,GC/Memory,GC/Memory,GC/Memory,0.71
reserve-inline-budget-scale-factor,Turbofan,Turbofan,Turbofan,Turbofan,Optimization,Turbofan,Turbofan,Turbofan,0.71
resize-large-object,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
retain-maps-for-n-gc,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
reuse-scope-infos,Compiler/Tier Manager,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,0.14
runtime-call-stats,Trace/Debug,Print,Print,Trace/Debug,Print,Trace/Debug,Generic,Trace/Debug,0.00
sampling-heap-profiler-suppress-randomness,GC/Memory,Testing/Fuzzing,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,Trace/Debug,GC/Memory,0.00
sandbox-fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
sandbox-testing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
scavenger-chaos-mode,GC/Memory,Testing/Fuzzing,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,Testing/Fuzzing,0.14
scavenger-chaos-mode-threshold,GC/Memory,GC/Memory,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,0.14
scavenger-conservative-object-pinning,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
scavenger-precise-object-pinning,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
scavenger-promote-quarantined-pages,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
scavenger-updates-allocation-limit,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
script-context-cells,Data,Optimization,Optimization,Data,Optimization,Optimization,Optimization,Optimization,0.43
script-streaming,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Ignition,Compiler/Tier Manager,0.71
semi-space-growth-factor,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
serialization-statistics,Trace/Debug,Compiler/Tier Manager,Print,Trace/Debug,Print,GC/Memory,Trace/Debug,Trace/Debug,0.14
shared-heap,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
shared-string-table,Data,Data,Data,Data,Data,Data,Data,Data,1.00
shared-strings,Data,Data,Data,Data,Data,Data,Data,Data,1.00
short-builtin-calls,Compiler/Tier Manager,Optimization,Optimization,Compiler/Tier Manager,Optimization,Compiler/Tier Manager,Optimization,Optimization,0.14
shortcut-strings-with-stack,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
sim-arm64-optional-features,Generic,Testing/Fuzzing,,Generic,Data,Generic,Data,Generic,0.17
single-generation,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
single-threaded,Generic,Generic,Generic,Generic,Generic,Generic,Compiler/Tier Manager,Generic,0.71
single-threaded-gc,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
single-threaded-gc-in-background,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
slow-debug-code,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Debug,Generic,Generic,Trace/Debug,0.29
slow-histograms,Trace/Debug,Testing/Fuzzing,Trace/Debug,Trace/Debug,Data,Trace/Debug,Generic,Trace/Debug,0.43
smi-string-cache-size,Data,Data,Data,Data,Data,Data,Data,Data,1.00
sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,1.00
sparkplug-filter,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,1.00
sparkplug-needs-short-builtins,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,1.00
sparkplug-plus,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,Sparkplug,1.00
specialize-code-for-one-byte-seq-strings,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,Maglev,1.00
stack-size,Generic,Generic,GC/Memory,Generic,Data,GC/Memory,Generic,Generic,0.29
stack-trace-limit,Trace/Debug,Generic,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Generic,Trace/Debug,0.29
stack-trace-on-illegal,Trace/Debug,Print,Trace/Debug,Trace/Debug,Debug,Trace/Debug,Language mode/features,Trace/Debug,0.43
startup-blob,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Data,Print,Generic,Compiler/Tier Manager,0.33
startup-src,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Data,Print,Generic,Compiler/Tier Manager,0.33
sticky-mark-bits,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,1.00
stress-background-compile,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-branch-hinting,Testing/Fuzzing,Testing/Fuzzing,Wasm,Testing/Fuzzing,Testing/Fuzzing,Wasm,Testing/Fuzzing,Testing/Fuzzing,0.43
stress-compaction,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-compaction-random,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-concurrent-allocation,GC/Memory,Testing/Fuzzing,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,0.43
stress-concurrent-inlining,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-concurrent-inlining-attach-code,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-flush-code,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-gc-during-compilation,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-ic,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-incremental-marking,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-inline,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-lazy-compilation,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-lazy-source-positions,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,1.00
stress-maglev,Maglev,Testing/Fuzzing,Testing/Fuzzing,Maglev,Testing/Fuzzing,Maglev,Testing/Fuzzing,Testing/Fuzzing,0.14
