flag,gemini-3-pro-preview-maxthinking-gcli.csv,glm-4.6.csv,gemini-2.5-pro-maxthinking-gcli.csv,kimi-k2-thinking.csv,doubao.csv,merged_comparison.csv,qwen3-max.csv,deepseek-reasoner.csv,same?,final_category
--trace-compilation-dependencies,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-compiler-dispatcher,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-concurrent-marking,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-concurrent-recompilation,Compiler/Tier Manager,Compiler/Tier Manager,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Compiler/Tier Manager,,Trace/Debug,no,"Compiler/Tier Manager, Compiler/Tier Manager, Trace/Debug, Compiler/Tier Manager, Trace/Debug, Compiler/Tier Manager, , Trace/Debug"
--trace-context-disposal,GC/Memory,Trace/Debug,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, Trace/Debug, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-contexts,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-creation-allocation-sites,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-deopt,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-deopt-verbose,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-deserialization,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-detached-contexts,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-duplicate-threshold-kb,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-elements-transitions,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-environment-liveness,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-evacuation,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-evacuation-candidates,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-experimental-regexp-engine,Trace/Debug,Language mode/features,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Language mode/features, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-file-names,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-flush-code,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-for-in-enumerate,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-fragmentation,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-fragmentation-verbose,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-gc,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-gc-freelists,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-gc-freelists-verbose,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-gc-heap-layout,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-gc-heap-layout-ignore-minor-gc,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-gc-ignore-scavenger,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-gc-nvp,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-gc-object-stats,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-gc-object-stats-all-objects,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-gc-verbose,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-generalization,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, GC/Memory, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-heap-broker,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Turbofan, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-heap-broker-verbose,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Turbofan, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-ignition-codegen,Ignition,Ignition,Trace/Debug,Ignition,Trace/Debug,Ignition,,Trace/Debug,no,"Ignition, Ignition, Trace/Debug, Ignition, Trace/Debug, Ignition, , Trace/Debug"
--trace-ignition-dispatches-output-file,Ignition,Ignition,Trace/Debug,Ignition,Trace/Debug,Ignition,,Trace/Debug,no,"Ignition, Ignition, Trace/Debug, Ignition, Trace/Debug, Ignition, , Trace/Debug"
--trace-incremental-marking,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-isolates,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-lazy,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-liftoff,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-maglev-escape-analysis,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Maglev,,Trace/Debug,no,"Maglev, Maglev, Trace/Debug, Maglev, Trace/Debug, Maglev, , Trace/Debug"
--trace-maglev-graph-building,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Maglev,,Trace/Debug,no,"Maglev, Maglev, Trace/Debug, Maglev, Trace/Debug, Maglev, , Trace/Debug"
--trace-maglev-inlining,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Maglev,,Trace/Debug,no,"Maglev, Maglev, Trace/Debug, Maglev, Trace/Debug, Maglev, , Trace/Debug"
--trace-maglev-kna-processor,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Maglev,,Trace/Debug,no,"Maglev, Maglev, Trace/Debug, Maglev, Trace/Debug, Maglev, , Trace/Debug"
--trace-maglev-loop-speeling,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Maglev,,Trace/Debug,no,"Maglev, Maglev, Trace/Debug, Maglev, Trace/Debug, Maglev, , Trace/Debug"
--trace-maglev-object-tracking,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Maglev,,Trace/Debug,no,"Maglev, Maglev, Trace/Debug, Maglev, Trace/Debug, Maglev, , Trace/Debug"
--trace-maglev-phi-untagging,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Maglev,,Trace/Debug,no,"Maglev, Maglev, Trace/Debug, Maglev, Trace/Debug, Maglev, , Trace/Debug"
--trace-maglev-range-analysis,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Maglev,,Trace/Debug,no,"Maglev, Maglev, Trace/Debug, Maglev, Trace/Debug, Maglev, , Trace/Debug"
--trace-maglev-regalloc,Maglev,Maglev,Trace/Debug,Maglev,Trace/Debug,Maglev,,Trace/Debug,no,"Maglev, Maglev, Trace/Debug, Maglev, Trace/Debug, Maglev, , Trace/Debug"
--trace-memory-balancer,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-memory-reducer,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-migration,Trace/Debug,GC/Memory,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, GC/Memory, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-minor-ms-parallel-marking,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-module-status,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-mutator-utilization,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-normalization,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-number-string-cache,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-opt,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-opt-stats,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-opt-status,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-opt-verbose,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-osr,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-page-promotions,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-parallel-scavenge,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-pending-allocations,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-pretenuring,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-pretenuring-statistics,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-protector-invalidation,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-prototype-users,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-rail,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-read-only-promotion,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-read-only-promotion-verbose,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-regexp-assembler,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-regexp-bytecodes,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-regexp-graph,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-regexp-parser,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-regexp-peephole-optimization,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-regexp-tier-up,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-representation,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Turbofan, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-resize-large-object,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-serializer,Trace/Debug,Compiler/Tier Manager,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Compiler/Tier Manager, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-side-effect-free-debug-evaluate,Trace/Debug,Testing/Fuzzing,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Testing/Fuzzing, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-store-elimination,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-stress-marking,GC/Memory,Testing/Fuzzing,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, Testing/Fuzzing, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-stress-scavenge,GC/Memory,Testing/Fuzzing,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, Testing/Fuzzing, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-temporal,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,yes,Trace/Debug
--trace-track-allocation-sites,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-turbo,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-alloc,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-bailouts,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-ceq,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-cfg-file,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-escape,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-file-prefix,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-filter,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-graph,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-inlining,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-jt,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-load-elimination,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-loop,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-path,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-reduction,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-scheduled,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-scheduler,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-stack-accesses,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-trimming,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbo-types,Turbofan,Turbofan,Trace/Debug,Turbofan,Trace/Debug,Turbofan,,Trace/Debug,no,"Turbofan, Turbofan, Trace/Debug, Turbofan, Trace/Debug, Turbofan, , Trace/Debug"
--trace-turbolev-graph-building,Turbolev,Turbolev,Trace/Debug,Turbolev,Trace/Debug,Turbolev,,Trace/Debug,no,"Turbolev, Turbolev, Trace/Debug, Turbolev, Trace/Debug, Turbolev, , Trace/Debug"
--trace-unmapper,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-verify-csa,Trace/Debug,Turbofan,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,,Trace/Debug,no,"Trace/Debug, Turbofan, Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, , Trace/Debug"
--trace-wasm,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-code-gc,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-compilation-times,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-compiler,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-decoder,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-globals,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-inlining,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-instances,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-lazy-compilation,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-loop-peeling,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-memory,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-native-heap,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
